Event Number,Type,Country,Ticker,Pre Start Date,Pre End Date,Post Start Date,Post End Date,Pre Duration,Post Duration,Coup,Assassination,Resignation,Return
1,Pre,Argentina,_IBGD,6/29/1966,6/8/1970,6/8/1970,3/22/1971,1440,287,1,0,0,-1.975
2,Pre,Argentina,_IBGD,6/8/1970,3/22/1971,3/22/1971,5/25/1973,287,795,1,0,0,0.871
3,Pre,Argentina,_IBGD,6/30/1974,3/24/1976,3/29/1976,3/29/1981,633,1826,1,0,0,27.915
4,Pre,Thailand,_SETID,4/20/1976,10/6/1976,10/6/1976,10/20/1977,169,379,1,0,0,-0.51
5,Pre,Thailand,_SETID,10/8/1976,10/20/1977,11/11/1977,3/3/1980,377,843,1,0,0,-0.994
6,Pre,South Korea,_KS11D,10/26/1979,8/16/1980,8/16/1980,2/24/1988,295,2748,1,0,0,-1.831
7,Pre,Thailand,_SETID,8/4/1988,2/23/1991,2/24/1991,4/7/1992,933,408,1,0,0,-7.56
8,Pre,Peru,_IGRAD,7/28/1990,4/6/1992,4/6/1992,11/22/2000,618,3152,1,0,0,-8.424
9,Pre,Pakistan,_KSED,2/17/1997,10/12/1999,10/12/1999,8/18/2008,967,3233,1,0,0,-7.741
10,Pre,Nepal,_NEPSED,7/26/2001,10/4/2002,10/4/2002,6/10/2006,435,1345,1,0,0,0.082
11,Pre,Thailand,_SETID,2/9/2001,9/19/2006,9/19/2006,1/29/2008,2048,497,1,0,0,-1.832
12,Pre,Bangladesh,BDDSEXD,10/10/2001,10/29/2006,10/29/2006,1/6/2009,1845,800,1,0,0,-0.191
13,Pre,United States,_DJI3D,3/4/1897,9/14/1901,9/14/1901,3/4/1909,,2728,0,1,0,-4.529
14,Pre,United States,_DJI3D,1/20/1961,11/22/1963,11/22/1963,1/20/1969,1036,1886,0,1,0,-2.98
15,Pre,South Korea,_KS11D,5/16/1961,10/26/1979,10/26/1979,8/16/1980,6737,295,0,1,0,-0.422
16,Pre,India,_BSESND,1/14/1980,10/31/1984,10/31/1984,12/2/1989,1752,1858,0,1,0,-0.364
17,Pre,Sweden,_OMXAFGD,10/8/1982,2/28/1986,3/1/1986,10/4/1991,1239,2043,0,1,0,0.546
18,Pre,Sri Lanka,_CSED,1/2/1989,5/1/1993,5/2/1993,11/12/1994,1580,559,0,1,0,0.943
19,Pre,Israel,_TA100D,7/13/1992,11/4/1995,11/4/1995,6/18/1996,1209,227,0,1,0,-4.117
20,Pre,Nepal,_NEPSED,1/31/1972,6/1/2001,6/4/2001,4/24/2006,10714,1785,0,1,0,-0.537
21,Pre,Argentina,_IBGD,12/22/1981,6/17/1982,7/1/1982,12/10/1982,177,162,0,0,1,19.024
22,Pre,Philippines,_PSID,12/30/1965,2/25/1986,2/25/1986,6/30/1992,7362,2317,0,0,1,16.354
23,Pre,Bangladesh,BDDSEXD,12/11/1983,12/6/1990,12/6/1990,10/10/1991,2552,308,0,0,1,1.403
24,Pre,Thailand,_SETID,4/7/1992,5/24/1992,5/24/1992,9/23/1992,47,122,0,0,1,3.231
25,Pre,Pakistan,_KSED,11/6/1990,4/18/1993,4/18/1993,11/5/1996,894,1297,0,0,1,-3.155
26,Pre,Pakistan,_KSED,10/19/1993,11/5/1996,11/5/1996,10/12/1999,1113,1071,0,0,1,4.824
27,Pre,Turkey,_XU100D,6/28/1996,6/30/1997,6/30/1997,1/11/1999,367,560,0,0,1,1.842
28,Pre,Indonesia,_JKSED,3/27/1968,5/21/1998,5/21/1998,10/20/1999,11012,517,0,0,1,12.212
29,Pre,Philippines,_PSID,6/30/1998,1/20/2001,1/20/2001,6/30/2010,935,3448,0,0,1,16.355
30,Pre,Argentina,_IBGD,12/10/1999,12/20/2001,12/22/2001,5/25/2003,741,519,0,0,1,14.021
31,Pre,Lithuania,_LITIN1D,2/26/2003,4/6/2004,4/6/2004,7/12/2009,405,1923,0,0,1,0.163
32,Pre,Ukraine,_PFTSID,NA,NA,1/23/2005,2/25/2010,,1859,0,0,1,5.117
33,Pre,Ecuador,_BVGD,1/15/2003,4/20/2005,4/20/2005,1/14/2007,826,634,0,0,1,-0.095
34,Pre,Nepal,_NEPSED,6/4/2001,4/24/2006,4/25/2006,5/28/2008,1785,764,0,0,1,2.311
35,Pre,Tunisia,_TUNINDD,11/7/1987,1/14/2011,1/14/2011,12/13/2011,8469,333,0,0,1,-1.425
